Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Description,Environment,Watchers,Watchers,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Rank),Sprint,Sprint,Sprint,Custom field (Story Points),Comment,Comment
Estimate commit entropy,PITL1-103,11510,,Epic,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,ga65hif,ga65hif,ga65hif,01/Jun/21 7:54 AM,22/Jun/21 3:41 PM,09/Jun/21 3:48 PM,09/Jun/21 2:27 PM,,0,,"How much a developer would change in a file per commit that changes it can be a relevant metric. For example, if a developer only makes small changes in a file, he most likely is not implementing a new feature but doing maintenance work. The goal is figuring out which files a developer is most familiar with to estimate if this developer would be a good choice for tasks regarding a file. This metric could also be used as basis for other metrics, for example if large changes are estimated in a file with a comparatively low amount of lines, this could suggest a problem (file requiring a rewrite for each change)

While a simple version of this could be achieved with statistical approach, using machine learning will enable the usage of multiple inputs that change the estimated entropy.",,ga65hif,,,,,,,,,,,,,,,,,,,,,,ghx-label-1,,Estimate commit entropy,To Do,"0|i003qv:",,,,,,
Find Metrics to evaluate model performance,PITL1-102,11430,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,saurypande,saurypande,saurypande,25/May/21 9:47 PM,07/Jun/21 2:03 PM,07/Jun/21 2:03 PM,07/Jun/21 2:03 PM,,0,,,,saurypande,,,,,,,,,,,,,,,,,,,,,,,PITL1-18,,,"0|i003pj:",Sprint 2 - Week 2,,,,,
Data Preprocessing and Feature Selection,PITL1-101,11429,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,saurypande,saurypande,saurypande,25/May/21 9:45 PM,07/Jun/21 12:52 PM,07/Jun/21 12:52 PM,07/Jun/21 12:52 PM,,0,,,,saurypande,,,,,,,,,,,,,,,,,,,,,,,PITL1-18,,,"0|i003pb:",Sprint 2 - Week 2,,,,,
Create labelled data set suitable for the task of estimating response time of an incident,PITL1-100,11428,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,saurypande,saurypande,saurypande,25/May/21 9:37 PM,07/Jun/21 12:56 PM,07/Jun/21 12:56 PM,07/Jun/21 12:56 PM,,0,,,,saurypande,,,,,,,,,,,,,,,,,,,,,,,PITL1-18,,,"0|i003p3:",,,,,,
Research about models suitable for the task of estimating resolve time for incidents ,PITL1-99,11427,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,saurypande,saurypande,saurypande,25/May/21 9:35 PM,07/Jun/21 2:06 PM,07/Jun/21 2:07 PM,07/Jun/21 2:06 PM,,0,,,,saurypande,,,,,,,,,,,,,,,PITL1-18,,,,,,,,,,,"0|i003ov:",Sprint 2 - Week 2,,,,,
Add variance to sentiment export (for box plot),PITL1-98,11391,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,zhiyiniu,nikanmog,nikanmog,21/May/21 1:26 PM,25/May/21 11:44 PM,06/Jul/21 8:42 PM,25/May/21 11:44 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i003if:",Sprint 2 - Week 1,,,,,
Handle editing user data in front and backend,PITL1-97,11390,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,21/May/21 12:53 PM,29/May/21 12:57 PM,29/May/21 1:40 AM,29/May/21 12:57 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,PITL1-82,,,"0|i003go:",Sprint 2 - Week 1,,,,,
Create submissions for weekly report,PITL1-96,11389,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,21/May/21 12:52 PM,02/Jun/21 12:38 AM,29/May/21 1:40 AM,02/Jun/21 12:38 AM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i003gs:",Sprint 2 - Week 1,,,,,
Have a model ready to present before our next meeting on Friday,PITL1-95,11388,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,saurypande,nikanmog,nikanmog,21/May/21 12:51 PM,07/Jun/21 12:52 PM,07/Jun/21 12:52 PM,07/Jun/21 12:52 PM,28/May/21 12:00 AM,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,PITL1-18,,,"0|i003hz:",Sprint 2 - Week 1,Sprint 2 - Week 2,,,,
Have a model ready to present before our next meeting on Friday,PITL1-94,11387,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Won't Do,ga65hif,nikanmog,nikanmog,21/May/21 12:50 PM,08/Jun/21 9:08 PM,06/Jul/21 8:42 PM,08/Jun/21 9:08 PM,28/May/21 12:00 AM,0,,,,ga65hif,nikanmog,"No usable model was found and papers were to complex to reproduce;08/Jun/21 9:08 PM;ga65hif;25200",,,0,25200,,,0,25200,,,,,,,,,,,,,PITL1-84,,,"0|i003hr:",Sprint 2 - Week 1,Sprint 2 - Week 2,,,"08/Jun/21 9:08 PM;ga65hif;No usable model was found and papers were to complex to reproduce",
Have a model ready to present before our next meeting on Friday,PITL1-93,11386,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,ga65hif,nikanmog,nikanmog,21/May/21 12:50 PM,08/Jun/21 9:09 PM,06/Jul/21 8:42 PM,08/Jun/21 9:09 PM,28/May/21 12:00 AM,0,,,,nikanmog,,";08/Jun/21 9:09 PM;ga65hif;10800",,,0,10800,,,0,10800,,,,,,,,,,,,,PITL1-85,,,"0|i003i7:",Sprint 2 - Week 1,Sprint 2 - Week 2,,,,
Have a model ready to present before our next meeting on Friday,PITL1-92,11385,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,zhiyiniu,nikanmog,nikanmog,21/May/21 12:50 PM,09/Jun/21 2:25 PM,29/May/21 1:40 AM,09/Jun/21 2:25 PM,28/May/21 12:00 AM,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,PITL1-90,,,"0|i003hb:",Sprint 2 - Week 1,Sprint 2 - Week 2,,,,
Create Confluence page with model description & your research + ideas,PITL1-91,11384,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,zhiyiniu,nikanmog,nikanmog,21/May/21 12:49 PM,26/May/21 12:41 AM,06/Jul/21 8:42 PM,26/May/21 12:41 AM,22/May/21 12:00 AM,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,PITL1-90,,,"0|i003h3:",Sprint 2 - Week 1,,,,,
Network graph with developer synergies,PITL1-90,11383,,Epic,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,saurypande,nikanmog,nikanmog,21/May/21 12:48 PM,06/Jul/21 12:31 PM,24/May/21 10:28 AM,06/Jul/21 12:31 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,ghx-label-1,,"Jira, Git: Network graph with developer clusters & synergies",To Do,"0|i003gv:",,,,,,
Create forms for profile page,PITL1-89,11382,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,21/May/21 12:47 PM,29/May/21 12:57 PM,29/May/21 1:40 AM,29/May/21 12:57 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,PITL1-82,,,"0|i003gn:",Sprint 2 - Week 1,,,,,
Create Confluence page with model description & your research + ideas,PITL1-88,11381,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Explained,saurypande,nikanmog,nikanmog,21/May/21 12:47 PM,24/May/21 10:26 AM,06/Jul/21 8:42 PM,24/May/21 10:26 AM,22/May/21 12:00 AM,0,,,,nikanmog,saurypande,,,,,,,,,,,,,,,,,,,,,,PITL1-18,,,"0|i003hw:",Sprint 2 - Week 1,,,,"24/May/21 10:26 AM;saurypande;I have added the initial workflow, how I would be starting with this task. I'll add more details to the doc once I get into my actual implementation of models and their performance.",
Create Confluence page with model description & your research + ideas,PITL1-87,11380,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,ga65hif,nikanmog,nikanmog,21/May/21 12:46 PM,08/Jun/21 9:07 PM,03/Jun/21 12:20 AM,08/Jun/21 9:07 PM,22/May/21 12:00 AM,0,,,,nikanmog,,";08/Jun/21 9:07 PM;ga65hif;3600",,,0,3600,,,0,3600,,,,,,,,,,,,,PITL1-84,,,"0|i003ho:",Sprint 2 - Week 1,Sprint 2 - Week 2,,,,
Create Confluence page with model description & your research + ideas,PITL1-86,11379,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,ga65hif,nikanmog,nikanmog,21/May/21 12:46 PM,08/Jun/21 9:10 PM,03/Jun/21 12:20 AM,08/Jun/21 9:10 PM,22/May/21 12:00 AM,0,,,,nikanmog,,";08/Jun/21 9:10 PM;ga65hif;7200",,,0,7200,,,0,7200,,,,,,,,,,,,,PITL1-85,,,"0|i003i4:",Sprint 2 - Week 1,Sprint 2 - Week 2,,,,
Git data: Bug detection or similar ml use case (use kaggle dataset),PITL1-85,11378,,Epic,Discarded,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Cannot Reproduce,ga65hif,nikanmog,nikanmog,21/May/21 12:45 PM,18/Jun/21 3:49 PM,06/Jul/21 8:42 PM,18/Jun/21 3:49 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,ghx-label-13,,Git data: Bug detection or similar ml use case (use kaggle dataset),To Do,"0|i003fr:",,,,,,
"GitHub: Predict developer skill (e.g. skill defined as stars/ followers on GitHub), by looking at developer commits or pull requests, issues etc",PITL1-84,11377,,Epic,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Cannot Reproduce,ga65hif,nikanmog,nikanmog,21/May/21 12:44 PM,18/Jun/21 3:49 PM,06/Jul/21 8:42 PM,18/Jun/21 3:49 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,ghx-label-11,,"GitHub: Predict developer skill (e.g. skill defined as stars/ followers on GitHub), by looking at developer commits or pull requests, issues etc",To Do,"0|i003fj:",,,,,,
Developer performance: coding time prediction,PITL1-83,11376,,Epic,Discarded,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Cannot Reproduce,zhiyiniu,nikanmog,nikanmog,21/May/21 12:44 PM,25/Jun/21 11:37 PM,11/Jun/21 10:57 AM,18/Jun/21 4:10 PM,,0,,,,nikanmog,zhiyiniu,,,,,,,,,,,,,,,,,,,,,ghx-label-9,,"Jira + Git: Developer performance, speed etc (incl. ML)",To Do,"0|i003fb:",,,,,"16/Jun/21 2:41 AM;zhiyiniu;Hi [~nikanmog], 

No problem, I will take over it. 

Regards,

Zhiyi",
Profile Page for webapp,PITL1-82,11375,,Epic,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Highest,Done,nikanmog,nikanmog,nikanmog,21/May/21 12:43 PM,09/Jun/21 2:26 PM,07/Jun/21 12:57 PM,09/Jun/21 2:26 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,ghx-label-6,,Web - Profile Page for webapp,To Do,"0|i003f3:",,,,,,
"Web - More visuals on insights, team level insights",PITL1-81,11365,,Epic,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,19/May/21 1:41 PM,09/Jun/21 2:27 PM,29/May/21 1:40 AM,09/Jun/21 2:27 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,ghx-label-2,,"Web - More visuals on insights, team level insights",To Do,"0|i003cv:",,,,,,
Change time to cyclical representation,PITL1-80,11364,11292,Sub-task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,ga65hif,ga65hif,ga65hif,18/May/21 11:28 PM,18/May/21 11:29 PM,06/Jul/21 8:42 PM,18/May/21 11:29 PM,,0,,"Initial model showed issues, with estimated time until response being very different at 23:59 and 0:00. This needs to be changed.",,ga65hif,,";18/May/21 11:29 PM;ga65hif;3600",,7200,3600,3600,50%,7200,3600,3600,,,,,PITL1-48,,,,,,,,,,,"0|i003cn:",Sprint 1 - Week 4,,,,,
Create working prototype,PITL1-79,11363,11292,Sub-task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,ga65hif,ga65hif,ga65hif,18/May/21 11:22 PM,18/May/21 11:23 PM,06/Jul/21 8:42 PM,18/May/21 11:23 PM,,0,,Create an inital prototype to show viability,,ga65hif,,";18/May/21 11:23 PM;ga65hif;10800",,14400,3600,10800,75%,14400,3600,10800,,,,,,,,,,,,,,,,"0|i003cf:",Sprint 1 - Week 4,,,,,
Remove tags in slack data before training (<Hashcode> tags) to improve accuracy,PITL1-78,11362,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,zhiyiniu,nikanmog,nikanmog,18/May/21 10:51 PM,19/May/21 1:18 AM,06/Jul/21 8:42 PM,19/May/21 1:18 AM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i003c7:",,,,,,
Create Responsiveness Visual,PITL1-77,11361,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,18/May/21 8:49 PM,18/May/21 8:52 PM,06/Jul/21 8:42 PM,18/May/21 8:52 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,PITL1-69,,,"0|i00399:",Sprint 1 - Week 4,,,,,
Create Jira Visual,PITL1-76,11360,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,18/May/21 8:49 PM,18/May/21 8:52 PM,06/Jul/21 8:42 PM,18/May/21 8:52 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,PITL1-69,,,"0|i00398:",Sprint 1 - Week 4,,,,,
Create Sentiment Visual,PITL1-75,11359,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,18/May/21 8:49 PM,18/May/21 8:52 PM,06/Jul/21 8:42 PM,18/May/21 8:52 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,PITL1-69,,,"0|i00397:",Sprint 1 - Week 4,,,,,
Create Insights Dashboard for all visuals,PITL1-74,11358,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,18/May/21 8:49 PM,18/May/21 8:52 PM,06/Jul/21 8:42 PM,18/May/21 8:52 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,PITL1-69,,,"0|i00396:",Sprint 1 - Week 4,,,,,
Create Backend to store access log,PITL1-73,11357,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,18/May/21 8:48 PM,18/May/21 8:52 PM,06/Jul/21 8:42 PM,18/May/21 8:52 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,PITL1-70,,,"0|i00395:",Sprint 1 - Week 4,,,,,
Fully implement a secure authentication flow,PITL1-72,11356,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,18/May/21 8:48 PM,18/May/21 8:52 PM,06/Jul/21 8:42 PM,18/May/21 8:52 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,PITL1-71,,,"0|i00394:",Sprint 1 - Week 4,,,,,
Fully implement a secure authentication flow,PITL1-71,11355,,Epic,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,18/May/21 8:48 PM,21/May/21 11:55 AM,06/Jul/21 8:42 PM,21/May/21 11:55 AM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,ghx-label-13,,Web - Fully implement a secure authentication flow,To Do,"0|i003bz:",,,,,,
Create Backend to store access log,PITL1-70,11354,,Epic,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,18/May/21 8:47 PM,21/May/21 11:55 AM,06/Jul/21 8:42 PM,21/May/21 11:55 AM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,ghx-label-11,,Web - Create Backend to store access log,To Do,"0|i003br:",,,,,,
Create Insights Dashboard for all visuals,PITL1-69,11353,,Epic,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,18/May/21 8:47 PM,21/May/21 11:55 AM,06/Jul/21 8:42 PM,21/May/21 11:55 AM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,ghx-label-9,,Web - Create Insights Dashboard for all visuals,To Do,"0|i003bj:",,,,,,
Send a detailed progress update until Monday 1pm to slack (bullet points & screenshots) I will use this for our progress submission to valentin,PITL1-68,11339,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,saurypande,nikanmog,nikanmog,15/May/21 2:44 PM,17/May/21 4:14 PM,06/Jul/21 8:42 PM,17/May/21 4:14 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i00393:",Sprint 1 - Week 4,,,,,
Send a detailed progress update until Monday 1pm to slack (bullet points & screenshots) I will use this for our progress submission to valentin,PITL1-67,11338,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,zhiyiniu,nikanmog,nikanmog,15/May/21 2:44 PM,17/May/21 12:42 PM,06/Jul/21 8:42 PM,17/May/21 12:42 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i0038v:",Sprint 1 - Week 4,,,,,
Send a detailed progress update until Monday 1pm to slack (bullet points & screenshots) I will use this for our progress submission to valentin,PITL1-66,11337,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,ga65hif,nikanmog,nikanmog,15/May/21 2:44 PM,18/May/21 7:32 AM,06/Jul/21 8:42 PM,18/May/21 7:32 AM,,0,,,,nikanmog,,";18/May/21 7:32 AM;ga65hif;720",,,0,720,,,0,720,,,,,,,,,,,,,,,,"0|i0038n:",Sprint 1 - Week 4,,,,,
Prepare your part of the presentation (explaining your confluence page with model details),PITL1-65,11336,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,ga65hif,nikanmog,nikanmog,15/May/21 2:43 PM,18/May/21 11:19 PM,06/Jul/21 8:42 PM,18/May/21 11:19 PM,,0,,,,nikanmog,,";18/May/21 11:19 PM;ga65hif;3600",,,0,3600,,,0,3600,,,,,,,,,,,,,,,,"0|i0038f:",Sprint 1 - Week 4,,,,,
Prepare your part of the presentation (explaining your confluence page with model details),PITL1-64,11335,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,zhiyiniu,nikanmog,nikanmog,15/May/21 2:43 PM,18/May/21 8:07 PM,06/Jul/21 8:42 PM,18/May/21 8:07 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i00387:",Sprint 1 - Week 4,,,,,
Prepare your part of the presentation (explaining your confluence page with model details),PITL1-63,11334,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,saurypande,nikanmog,nikanmog,15/May/21 2:43 PM,17/May/21 9:08 PM,06/Jul/21 8:42 PM,17/May/21 9:08 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i0037z:",Sprint 1 - Week 4,,,,,
"Create 2 Confluence pages, describing your research, the models you worked on etc. (see other team spaces for reference)",PITL1-62,11333,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,saurypande,nikanmog,nikanmog,15/May/21 2:40 PM,19/May/21 12:21 AM,06/Jul/21 8:42 PM,19/May/21 12:21 AM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i002vy:w",Sprint 1 - Week 4,,,,,
"Create 2 Confluence pages, describing your research, the models you worked on etc. (see other team spaces for reference)",PITL1-61,11332,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,ga65hif,nikanmog,nikanmog,15/May/21 2:40 PM,18/May/21 7:13 AM,06/Jul/21 8:42 PM,18/May/21 7:13 AM,,0,,,,nikanmog,,";18/May/21 7:13 AM;ga65hif;3600",,,0,3600,,,0,3600,,,,,,,,,,,,,,,,"0|i002vy:s",Sprint 1 - Week 4,,,,,
"Create 2 Confluence pages, describing your research, the models you worked on etc. (see other team spaces for reference)",PITL1-60,11331,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,zhiyiniu,nikanmog,nikanmog,15/May/21 2:40 PM,19/May/21 12:46 AM,06/Jul/21 8:42 PM,19/May/21 12:46 AM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i002vy:o",Sprint 1 - Week 4,,,,,
Create confluence pages for our meetings,PITL1-59,11330,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,15/May/21 2:38 PM,16/May/21 5:29 PM,06/Jul/21 8:42 PM,16/May/21 5:29 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i002vy:k",Sprint 1 - Week 4,,,,,
Prepare sprint review (add screenshots of analysis this time),PITL1-58,11329,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,15/May/21 2:38 PM,18/May/21 11:25 PM,06/Jul/21 8:42 PM,18/May/21 11:25 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i002vy:g",Sprint 1 - Week 4,,,,,
Write personal reflection report,PITL1-57,11328,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,zhiyiniu,nikanmog,nikanmog,15/May/21 2:36 PM,18/May/21 8:05 PM,06/Jul/21 8:42 PM,18/May/21 8:05 PM,,0,,"* *Personal reflection report [everyone]* [PDF] (1 page)
 * Was the distribution of work equal so far?
 * Is there anyone you are thankful to? Why?
 * Who was most helpful to you (may be from another team)?
 * Did you manage to finish the envisioned tasks?
 * (About the instructors) What did we do good so far? Are we helpful? How can we improve?",,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i002vy:c",Sprint 1 - Week 4,,,,,
Write personal reflection report,PITL1-56,11327,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,saurypande,nikanmog,nikanmog,15/May/21 2:36 PM,19/May/21 12:20 AM,06/Jul/21 8:42 PM,19/May/21 12:20 AM,,0,,"* *Personal reflection report [everyone]* [PDF] (1 page)
 * Was the distribution of work equal so far?
 * Is there anyone you are thankful to? Why?
 * Who was most helpful to you (may be from another team)?
 * Did you manage to finish the envisioned tasks?
 * (About the instructors) What did we do good so far? Are we helpful? How can we improve?",,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i002vy:8",Sprint 1 - Week 4,,,,,
Write personal reflection report,PITL1-55,11326,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,ga65hif,nikanmog,nikanmog,15/May/21 2:36 PM,18/May/21 7:09 AM,06/Jul/21 8:42 PM,18/May/21 7:09 AM,,0,,"* *Personal reflection report [everyone]* [PDF] (1 page)
 * Was the distribution of work equal so far?
 * Is there anyone you are thankful to? Why?
 * Who was most helpful to you (may be from another team)?
 * Did you manage to finish the envisioned tasks?
 * (About the instructors) What did we do good so far? Are we helpful? How can we improve?",,nikanmog,,";18/May/21 7:09 AM;ga65hif;3600",,,0,3600,,,0,3600,,,,,,,,,,,,,,,,"0|i002vy:4",Sprint 1 - Week 4,,,,,
Write personal reflection report,PITL1-54,11325,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,15/May/21 2:35 PM,15/May/21 9:01 PM,06/Jul/21 8:42 PM,15/May/21 9:01 PM,,0,,"* *Personal reflection report [everyone]* [PDF] (1 page)
 * Was the distribution of work equal so far?
 * Is there anyone you are thankful to? Why?
 * Who was most helpful to you (may be from another team)?
 * Did you manage to finish the envisioned tasks?
 * (About the instructors) What did we do good so far? Are we helpful? How can we improve?",,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i002vy:",Sprint 1 - Week 4,,,,,
Create bi weekly submission,PITL1-53,11324,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,15/May/21 2:35 PM,18/May/21 11:24 PM,06/Jul/21 8:42 PM,18/May/21 11:24 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i002vx:i",Sprint 1 - Week 4,,,,,
"Create PowerPoint with title, outline and discussion slide for presentation",PITL1-52,11323,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,15/May/21 2:34 PM,15/May/21 8:06 PM,06/Jul/21 8:42 PM,15/May/21 8:06 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i002vx:",Sprint 1 - Week 4,,,,,
Generate static output with model predictions (as discussed),PITL1-51,11322,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,saurypande,nikanmog,nikanmog,15/May/21 2:34 PM,17/May/21 9:06 PM,06/Jul/21 8:42 PM,17/May/21 9:06 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,PITL1-22,,,,,,,,"0|i002vw:i",Sprint 1 - Week 4,,,,,
